start new simulation
TRONROUT0000000222477715 capacity : 12.43361704927484
TRONROUT0000000222477720 capacity : 13.669293831378825
TRONROUT0000002223454531 capacity : 55.768119122675415
TRONROUT0000000073515670 capacity : 1083.198170932181
TRONROUT0000000073471491 capacity : 109.99216241506033
TRONROUT0000000073471879 capacity : 18.20109886866389
TRONROUT0000000073476594 capacity : 58.197594452080004
TRONROUT0000000216920738 capacity : 161.9052499168598
TRONROUT0000000073475986 capacity : 13.648443133940404
TRONROUT0000000073480677 capacity : 163.909581385385
TRONROUT0000000073480855 capacity : 400.04586706180805
TRONROUT0000002223374067 capacity : 61.660018897749175
TRONROUT0000000073475542 capacity : 8.820430827371315
TRONROUT0000000223321138 capacity : 17.396001725053395
TRONROUT0000000073465008 capacity : 395.85130026665377
TRONROUT0000000073521909 capacity : 258.2079796252726
TRONROUT0000000073522135 capacity : 544.2421203558192
TRONROUT0000000073476827 capacity : 100.5098718327992
TRONROUT0000000073480016 capacity : 45.3890478671412
TRONROUT0000000073480391 capacity : 19.3675059174166
TRONROUT0000000073480938 capacity : 43.495405401937404
TRONROUT0000000073514593 capacity : 59.71813942477429
TRONROUT0000000073522281 capacity : 530.2541103068414
TRONROUT0000000073535423 capacity : 25.373953088837204
TRONROUT0000000073535297 capacity : 401.64847081000664
TRONROUT0000000073515912 capacity : 788.895440047095
TRONROUT0000000073474505 capacity : 1197.4227262081663
TRONROUT0000000073476547 capacity : 163.34101043714998
TRONROUT0000000073474363 capacity : 578.3751187695638
TRONROUT0000000073480351 capacity : 277.57511678266604
TRONROUT0000000073480397 capacity : 126.44298028965405
TRONROUT0000000073480948 capacity : 378.6439339577271
TRONROUT0000000073535517 capacity : 401.73145258962404
TRONROUT0000000073480361 capacity : 285.91589281410955
TRONROUT0000000073484989 capacity : 228.1097241560644
TRONROUT0000000073480399 capacity : 67.68449598679136
TRONROUT0000000073480396 capacity : 19.002400345131843
TRONROUT0000000073469511 capacity : 2206.940788564899
TRONROUT0000000073476550 capacity : 108.62237928370021
TRONROUT0000000073480409 capacity : 60.2684583342281
TRONROUT0000000073480499 capacity : 55.80612670650746
TRONROUT0000000073522132 capacity : 223.53752961618295
TRONROUT0000000073522365 capacity : 710.3222266350741
TRONROUT0000000073522100 capacity : 665.3470723756598
TRONROUT0000000073535418 capacity : 2651.3165382262905
TRONROUT0000000073535417 capacity : 2531.8654677959034
TRONROUT0000000073522329 capacity : 97.70568048940665
TRONROUT0000000073523218 capacity : 2632.4860418356916
TRONROUT0000000073516072 capacity : 360.6998112665392
TRONROUT0000000073540055 capacity : 434.3989907355256
TRONROUT0000000073465049 capacity : 44.777298950507586
TRONROUT0000000073474534 capacity : 61.60387494034989
TRONROUT0000000073474533 capacity : 61.40446763291405
TRONROUT0000000073522367 capacity : 31.803678737340736
TRONROUT0000000223307165 capacity : 319.58166750509395
TRONROUT0000000073514509 capacity : 32.41388484243218
TRONROUT0000000073500002 capacity : 876.8144609188009
TRONROUT0000000073480929 capacity : 1412.6258734123921
TRONROUT0000002000598446 capacity : 716.0822269421443
TRONROUT0000000073514333 capacity : 1239.9682238847029
TRONROUT0000000073481455 capacity : 1854.1279480357525
TRONROUT0000000073514596 capacity : 1087.8551050848887
TRONROUT0000000073490843 capacity : 4298.787731609756
TRONROUT0000000329822607 capacity : 82.0250607461273
TRONROUT0000002000598419 capacity : 1347.914091646874
TRONROUT0000000073476834 capacity : 204.95404068145623
TRONROUT0000000073514336 capacity : 1077.0835188602
TRONROUT0000000073480357 capacity : 68.45232709972873
TRONROUT0000000073540249 capacity : 293.89858837790695
TRONROUT0000000073515794 capacity : 147.58464537119718
TRONROUT0000000073480400 capacity : 40.2195270075914
TRONROUT0000000073480392 capacity : 131.00571981809526
TRONROUT0000000329822608 capacity : 730.8352318809629
TRONROUT0000000073500001 capacity : 521.6609756984012
TRONROUT0000000073495381 capacity : 315.6062730435664
TRONROUT0000000073485311 capacity : 1545.0895206789282
TRONROUT0000000073540847 capacity : 829.4004409267385
TRONROUT0000000073516078 capacity : 62.38505137873243
TRONROUT0000000073480394 capacity : 46.94872091305507
TRONROUT0000000073495386 capacity : 363.79477582981167
TRONROUT0000000073495387 capacity : 1175.4312497661729
TRONROUT0000000073495396 capacity : 343.44523974716344
TRONROUT0000000073495390 capacity : 41.681170809077535
TRONROUT0000000073516076 capacity : 464.9646048286027
TRONROUT0000000230208135 capacity : 423.9394951242239
TRONROUT0000000073516074 capacity : 173.19407234959326
TRONROUT0000002000598414 capacity : 2634.5321177005785
TRONROUT0000000073490844 capacity : 242.11306105540731
TRONROUT0000000073514335 capacity : 129.85997363802534
TRONROUT0000000073514622 capacity : 57.00936324862904
TRONROUT0000000073514334 capacity : 131.5902696267438
TRONROUT0000000329822606 capacity : 62.15615842469185
TRONROUT0000000073490849 capacity : 44.52770281937717
TRONROUT0000000073490852 capacity : 162.91961286380797
